"COU","Country","ISIC","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","RES","Sorting residues, secondary waste","2014","2014","TONNE","Tonnes","3","Thousands",,,3342.163,,
"BEL","Belgium","RES","Sorting residues, secondary waste","2016","2016","TONNE","Tonnes","3","Thousands",,,3933.569,,
"BEL","Belgium","RES","Sorting residues, secondary waste","2018","2018","TONNE","Tonnes","3","Thousands",,,3940.447,,
"BEL","Belgium","TOTAL","Total amounts of primary waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,58348.02,,
"BEL","Belgium","TOTAL","Total amounts of primary waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,51325.97,,
"BEL","Belgium","TOTAL","Total amounts of primary waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,54623.23,,
"BEL","Belgium","TOTAL","Total amounts of primary waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,59218.82,,
"BEL","Belgium","TOTAL","Total amounts of primary waste generated","2018","2018","TONNE","Tonnes","3","Thousands",,,63672.79,,
"BEL","Belgium","INT_CAPITA","Primary waste per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,5355.197,,
"BEL","Belgium","INT_CAPITA","Primary waste per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,4637.436,,
"BEL","Belgium","INT_CAPITA","Primary waste per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,4885.896,,
"BEL","Belgium","INT_CAPITA","Primary waste per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,5242.922,,
"BEL","Belgium","INT_CAPITA","Primary waste per capita","2018","2018","KG_HAB","Kilograms per capita","0","Units",,,5583.501,,
"BEL","Belgium","INT_GDP","Primary waste per unit of GDP","2010","2010","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,119.496,,
"BEL","Belgium","INT_GDP","Primary waste per unit of GDP","2012","2012","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,102.605,,
"BEL","Belgium","INT_GDP","Primary waste per unit of GDP","2014","2014","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,107.008,,
"BEL","Belgium","INT_GDP","Primary waste per unit of GDP","2016","2016","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,112.268,,
"BEL","Belgium","INT_GDP","Primary waste per unit of GDP","2018","2018","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,116.666,,
"CZE","Czech Republic","TOTAL_S","Total amounts of waste generated by sector","2004","2004","TONNE","Tonnes","3","Thousands",,,29275.74,,
"CZE","Czech Republic","TOTAL_S","Total amounts of waste generated by sector","2006","2006","TONNE","Tonnes","3","Thousands",,,24745.75,,
"CZE","Czech Republic","TOTAL_S","Total amounts of waste generated by sector","2008","2008","TONNE","Tonnes","3","Thousands",,,25419.7,,
"CZE","Czech Republic","TOTAL_S","Total amounts of waste generated by sector","2010","2010","TONNE","Tonnes","3","Thousands",,,23757.57,,
"CZE","Czech Republic","TOTAL_S","Total amounts of waste generated by sector","2012","2012","TONNE","Tonnes","3","Thousands",,,23171.36,,
"CZE","Czech Republic","TOTAL_S","Total amounts of waste generated by sector","2014","2014","TONNE","Tonnes","3","Thousands",,,23394.96,,
"CZE","Czech Republic","TOTAL_S","Total amounts of waste generated by sector","2016","2016","TONNE","Tonnes","3","Thousands",,,25381.43,,
"CZE","Czech Republic","TOTAL_S","Total amounts of waste generated by sector","2018","2018","TONNE","Tonnes","3","Thousands",,,27913.45,,
"CZE","Czech Republic","RES","Sorting residues, secondary waste","2010","2010","TONNE","Tonnes","3","Thousands",,,675.866,,
"CZE","Czech Republic","RES","Sorting residues, secondary waste","2012","2012","TONNE","Tonnes","3","Thousands",,,921.767,,
"CZE","Czech Republic","RES","Sorting residues, secondary waste","2014","2014","TONNE","Tonnes","3","Thousands",,,982.235,,
"CZE","Czech Republic","RES","Sorting residues, secondary waste","2016","2016","TONNE","Tonnes","3","Thousands",,,1099.419,,
"CZE","Czech Republic","RES","Sorting residues, secondary waste","2018","2018","TONNE","Tonnes","3","Thousands",,,1174.682,,
"CZE","Czech Republic","TOTAL","Total amounts of primary waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,23081.7,,
"CZE","Czech Republic","TOTAL","Total amounts of primary waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,22249.59,,
"CZE","Czech Republic","TOTAL","Total amounts of primary waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,22412.72,,
"CZE","Czech Republic","TOTAL","Total amounts of primary waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,24282.01,,
"CZE","Czech Republic","TOTAL","Total amounts of primary waste generated","2018","2018","TONNE","Tonnes","3","Thousands",,,26738.77,,
"CZE","Czech Republic","INT_CAPITA","Primary waste per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,2194.652,,
"CZE","Czech Republic","INT_CAPITA","Primary waste per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,2117.136,,
"CZE","Czech Republic","INT_CAPITA","Primary waste per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,2129.518,,
"CZE","Czech Republic","INT_CAPITA","Primary waste per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,2298.283,,
"CZE","Czech Republic","INT_CAPITA","Primary waste per capita","2018","2018","KG_HAB","Kilograms per capita","0","Units",,,2516.252,,
"CZE","Czech Republic","INT_GDP","Primary waste per unit of GDP","2010","2010","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,70.218,,
"CZE","Czech Republic","INT_GDP","Primary waste per unit of GDP","2012","2012","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,67.042,,
"CZE","Czech Republic","INT_GDP","Primary waste per unit of GDP","2014","2014","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,66.07,,
"CZE","Czech Republic","INT_GDP","Primary waste per unit of GDP","2016","2016","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,66.24,,
"CZE","Czech Republic","INT_GDP","Primary waste per unit of GDP","2018","2018","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,67.208,,
"DNK","Denmark","TOTAL_S","Total amounts of waste generated by sector","2004","2004","TONNE","Tonnes","3","Thousands",,,12588.95,,
"DNK","Denmark","TOTAL_S","Total amounts of waste generated by sector","2006","2006","TONNE","Tonnes","3","Thousands",,,14703.14,,
"DNK","Denmark","TOTAL_S","Total amounts of waste generated by sector","2008","2008","TONNE","Tonnes","3","Thousands",,,15155.21,,
"DNK","Denmark","TOTAL_S","Total amounts of waste generated by sector","2010","2010","TONNE","Tonnes","3","Thousands",,,16217.74,,
"DNK","Denmark","TOTAL_S","Total amounts of waste generated by sector","2012","2012","TONNE","Tonnes","3","Thousands",,,16713.82,,
"DNK","Denmark","TOTAL_S","Total amounts of waste generated by sector","2014","2014","TONNE","Tonnes","3","Thousands",,,20808.84,,
"DNK","Denmark","TOTAL_S","Total amounts of waste generated by sector","2016","2016","TONNE","Tonnes","3","Thousands",,,20981.93,,
"DNK","Denmark","TOTAL_S","Total amounts of waste generated by sector","2018","2018","TONNE","Tonnes","3","Thousands",,,21445.9,,
"DNK","Denmark","RES","Sorting residues, secondary waste","2010","2010","TONNE","Tonnes","3","Thousands",,,949.034,,
"DNK","Denmark","RES","Sorting residues, secondary waste","2012","2012","TONNE","Tonnes","3","Thousands",,,772.121,,
"DNK","Denmark","RES","Sorting residues, secondary waste","2014","2014","TONNE","Tonnes","3","Thousands",,,1062.148,,
"DNK","Denmark","RES","Sorting residues, secondary waste","2016","2016","TONNE","Tonnes","3","Thousands",,,1081.178,,
"DNK","Denmark","RES","Sorting residues, secondary waste","2018","2018","TONNE","Tonnes","3","Thousands",,,1098.085,,
"DNK","Denmark","TOTAL","Total amounts of primary waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,15268.7,,
"DNK","Denmark","TOTAL","Total amounts of primary waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,15941.7,,
"DNK","Denmark","TOTAL","Total amounts of primary waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,19746.7,,
"DNK","Denmark","TOTAL","Total amounts of primary waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,19900.75,,
"DNK","Denmark","TOTAL","Total amounts of primary waste generated","2018","2018","TONNE","Tonnes","3","Thousands",,,20347.82,,
"DNK","Denmark","INT_CAPITA","Primary waste per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,2754.185,,
"DNK","Denmark","INT_CAPITA","Primary waste per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,2853.313,,
"DNK","Denmark","INT_CAPITA","Primary waste per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,3501.362,,
"DNK","Denmark","INT_CAPITA","Primary waste per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,3476.444,,
"DNK","Denmark","INT_CAPITA","Primary waste per capita","2018","2018","KG_HAB","Kilograms per capita","0","Units",,,3514.33,,
"DNK","Denmark","INT_GDP","Primary waste per unit of GDP","2010","2010","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,58.399,,
"DNK","Denmark","INT_GDP","Primary waste per unit of GDP","2012","2012","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,60.033,,
"DNK","Denmark","INT_GDP","Primary waste per unit of GDP","2014","2014","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,72.5,,
"DNK","Denmark","INT_GDP","Primary waste per unit of GDP","2016","2016","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,69.149,,
"DNK","Denmark","INT_GDP","Primary waste per unit of GDP","2018","2018","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,67.42,,
"FIN","Finland","TOTAL_S","Total amounts of waste generated by sector","2004","2004","TONNE","Tonnes","3","Thousands",,,69708.48,,
"FIN","Finland","TOTAL_S","Total amounts of waste generated by sector","2006","2006","TONNE","Tonnes","3","Thousands",,,72205.48,,
"FIN","Finland","TOTAL_S","Total amounts of waste generated by sector","2008","2008","TONNE","Tonnes","3","Thousands",,,81792.85,,
"FIN","Finland","TOTAL_S","Total amounts of waste generated by sector","2010","2010","TONNE","Tonnes","3","Thousands",,,104336.9,,
"FIN","Finland","TOTAL_S","Total amounts of waste generated by sector","2012","2012","TONNE","Tonnes","3","Thousands",,,91824.2,,
"FIN","Finland","TOTAL_S","Total amounts of waste generated by sector","2014","2014","TONNE","Tonnes","3","Thousands",,,95969.89,,
"FIN","Finland","TOTAL_S","Total amounts of waste generated by sector","2016","2016","TONNE","Tonnes","3","Thousands",,,122869.2,,
"FIN","Finland","TOTAL_S","Total amounts of waste generated by sector","2018","2018","TONNE","Tonnes","3","Thousands",,,128195.3,,
"FIN","Finland","RES","Sorting residues, secondary waste","2010","2010","TONNE","Tonnes","3","Thousands",,,938.175,,
"FIN","Finland","RES","Sorting residues, secondary waste","2012","2012","TONNE","Tonnes","3","Thousands",,,588.972,,
"FIN","Finland","RES","Sorting residues, secondary waste","2014","2014","TONNE","Tonnes","3","Thousands",,,815.199,,
"FIN","Finland","RES","Sorting residues, secondary waste","2016","2016","TONNE","Tonnes","3","Thousands",,,1365.185,,
"FIN","Finland","RES","Sorting residues, secondary waste","2018","2018","TONNE","Tonnes","3","Thousands",,,1455.026,,
"FIN","Finland","TOTAL","Total amounts of primary waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,103398.8,,
"FIN","Finland","TOTAL","Total amounts of primary waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,91235.22,,
"FIN","Finland","TOTAL","Total amounts of primary waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,95154.69,,
"FIN","Finland","TOTAL","Total amounts of primary waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,121504,,
"FIN","Finland","TOTAL","Total amounts of primary waste generated","2018","2018","TONNE","Tonnes","3","Thousands",,,126740.3,,
"FIN","Finland","INT_CAPITA","Primary waste per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,19278.805,,
"FIN","Finland","INT_CAPITA","Primary waste per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,16851.825,,
"FIN","Finland","INT_CAPITA","Primary waste per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,17422.791,,
"FIN","Finland","INT_CAPITA","Primary waste per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,22110.543,,
"FIN","Finland","INT_CAPITA","Primary waste per capita","2018","2018","KG_HAB","Kilograms per capita","0","Units",,,22978.828,,
"FIN","Finland","INT_GDP","Primary waste per unit of GDP","2010","2010","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,445.711,,
"FIN","Finland","INT_GDP","Primary waste per unit of GDP","2012","2012","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,388.944,,
"FIN","Finland","INT_GDP","Primary waste per unit of GDP","2014","2014","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,410.843,,
"FIN","Finland","INT_GDP","Primary waste per unit of GDP","2016","2016","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,507.505,,
"FIN","Finland","INT_GDP","Primary waste per unit of GDP","2018","2018","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,507.207,,
"FRA","France","TOTAL_S","Total amounts of waste generated by sector","2004","2004","TONNE","Tonnes","3","Thousands",,,296580.9,"E","Estimated value"
"FRA","France","TOTAL_S","Total amounts of waste generated by sector","2006","2006","TONNE","Tonnes","3","Thousands",,,312297.8,"E","Estimated value"
"FRA","France","TOTAL_S","Total amounts of waste generated by sector","2008","2008","TONNE","Tonnes","3","Thousands",,,345002.2,,
"FRA","France","TOTAL_S","Total amounts of waste generated by sector","2010","2010","TONNE","Tonnes","3","Thousands",,,355081.3,,
"FRA","France","TOTAL_S","Total amounts of waste generated by sector","2012","2012","TONNE","Tonnes","3","Thousands",,,344731.9,,
"FRA","France","TOTAL_S","Total amounts of waste generated by sector","2014","2014","TONNE","Tonnes","3","Thousands",,,324463,,
"FRA","France","TOTAL_S","Total amounts of waste generated by sector","2016","2016","TONNE","Tonnes","3","Thousands",,,322685.3,,
"FRA","France","TOTAL_S","Total amounts of waste generated by sector","2018","2018","TONNE","Tonnes","3","Thousands",,,342387.9,,
"FRA","France","RES","Sorting residues, secondary waste","2010","2010","TONNE","Tonnes","3","Thousands",,,9257.598,,
"FRA","France","RES","Sorting residues, secondary waste","2012","2012","TONNE","Tonnes","3","Thousands",,,9782.639,,
"FRA","France","RES","Sorting residues, secondary waste","2014","2014","TONNE","Tonnes","3","Thousands",,,9020.121,,
"FRA","France","RES","Sorting residues, secondary waste","2016","2016","TONNE","Tonnes","3","Thousands",,,11379.02,,
"FRA","France","RES","Sorting residues, secondary waste","2018","2018","TONNE","Tonnes","3","Thousands",,,11273.09,,
"FRA","France","TOTAL","Total amounts of primary waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,345823.7,,
"FRA","France","TOTAL","Total amounts of primary waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,334949.3,,
"FRA","France","TOTAL","Total amounts of primary waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,315442.8,,
"FRA","France","TOTAL","Total amounts of primary waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,311306.3,,
"FRA","France","TOTAL","Total amounts of primary waste generated","2018","2018","TONNE","Tonnes","3","Thousands",,,331114.8,,
"FRA","France","INT_CAPITA","Primary waste per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,5338.996,,
"FRA","France","INT_CAPITA","Primary waste per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,5121.314,,
"FRA","France","INT_CAPITA","Primary waste per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,4759.485,,
"FRA","France","INT_CAPITA","Primary waste per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,4668.061,,
"FRA","France","INT_CAPITA","Primary waste per capita","2018","2018","KG_HAB","Kilograms per capita","0","Units",,,4936.991,,
"FRA","France","INT_GDP","Primary waste per unit of GDP","2010","2010","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,133.887,,
"FRA","France","INT_GDP","Primary waste per unit of GDP","2012","2012","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,126.499,,
"FRA","France","INT_GDP","Primary waste per unit of GDP","2014","2014","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,117.327,,
"FRA","France","INT_GDP","Primary waste per unit of GDP","2016","2016","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,113.273,,
"FRA","France","INT_GDP","Primary waste per unit of GDP","2018","2018","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,115.625,,
"DEU","Germany","TOTAL_S","Total amounts of waste generated by sector","2004","2004","TONNE","Tonnes","3","Thousands",,,364021.9,,
"DEU","Germany","TOTAL_S","Total amounts of waste generated by sector","2006","2006","TONNE","Tonnes","3","Thousands",,,363786.1,,
"DEU","Germany","TOTAL_S","Total amounts of waste generated by sector","2008","2008","TONNE","Tonnes","3","Thousands",,,372796.3,,
"DEU","Germany","TOTAL_S","Total amounts of waste generated by sector","2010","2010","TONNE","Tonnes","3","Thousands",,,363545,,
"DEU","Germany","TOTAL_S","Total amounts of waste generated by sector","2012","2012","TONNE","Tonnes","3","Thousands",,,368022.2,,
"DEU","Germany","TOTAL_S","Total amounts of waste generated by sector","2014","2014","TONNE","Tonnes","3","Thousands",,,387504.3,,
"DEU","Germany","TOTAL_S","Total amounts of waste generated by sector","2016","2016","TONNE","Tonnes","3","Thousands",,,400071.7,,
"DEU","Germany","TOTAL_S","Total amounts of waste generated by sector","2018","2018","TONNE","Tonnes","3","Thousands",,,405523.6,,
"DEU","Germany","RES","Sorting residues, secondary waste","2010","2010","TONNE","Tonnes","3","Thousands",,,32844.33,,
"DEU","Germany","RES","Sorting residues, secondary waste","2012","2012","TONNE","Tonnes","3","Thousands",,,38204.59,,
"DEU","Germany","RES","Sorting residues, secondary waste","2014","2014","TONNE","Tonnes","3","Thousands",,,40845.74,,
"DEU","Germany","RES","Sorting residues, secondary waste","2016","2016","TONNE","Tonnes","3","Thousands",,,42458.93,,
"DEU","Germany","RES","Sorting residues, secondary waste","2018","2018","TONNE","Tonnes","3","Thousands",,,43973.89,,
"DEU","Germany","TOTAL","Total amounts of primary waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,330700.7,,
"DEU","Germany","TOTAL","Total amounts of primary waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,329817.6,,
"DEU","Germany","TOTAL","Total amounts of primary waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,346658.5,,
"DEU","Germany","TOTAL","Total amounts of primary waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,357612.8,,
"DEU","Germany","TOTAL","Total amounts of primary waste generated","2018","2018","TONNE","Tonnes","3","Thousands",,,361549.8,,
"DEU","Germany","INT_CAPITA","Primary waste per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,4043.936,,
"DEU","Germany","INT_CAPITA","Primary waste per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,4100.892,,
"DEU","Germany","INT_CAPITA","Primary waste per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,4280.66,,
"DEU","Germany","INT_CAPITA","Primary waste per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,4342.666,,
"DEU","Germany","INT_CAPITA","Primary waste per capita","2018","2018","KG_HAB","Kilograms per capita","0","Units",,,4360.972,,
"DEU","Germany","INT_GDP","Primary waste per unit of GDP","2010","2010","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,92.457,,
"DEU","Germany","INT_GDP","Primary waste per unit of GDP","2012","2012","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,88.358,,
"DEU","Germany","INT_GDP","Primary waste per unit of GDP","2014","2014","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,90.466,,
"DEU","Germany","INT_GDP","Primary waste per unit of GDP","2016","2016","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,89.947,,
"DEU","Germany","INT_GDP","Primary waste per unit of GDP","2018","2018","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,87.612,,
"GRC","Greece","TOTAL_S","Total amounts of waste generated by sector","2004","2004","TONNE","Tonnes","3","Thousands",,,33346.96,,
"GRC","Greece","TOTAL_S","Total amounts of waste generated by sector","2006","2006","TONNE","Tonnes","3","Thousands",,,51324.66,,
"GRC","Greece","TOTAL_S","Total amounts of waste generated by sector","2008","2008","TONNE","Tonnes","3","Thousands",,,68643.96,,
"GRC","Greece","TOTAL_S","Total amounts of waste generated by sector","2010","2010","TONNE","Tonnes","3","Thousands",,,70432.7,,
"GRC","Greece","TOTAL_S","Total amounts of waste generated by sector","2012","2012","TONNE","Tonnes","3","Thousands",,,72328.28,,
"GRC","Greece","TOTAL_S","Total amounts of waste generated by sector","2014","2014","TONNE","Tonnes","3","Thousands",,,69758.87,,
"GRC","Greece","TOTAL_S","Total amounts of waste generated by sector","2016","2016","TONNE","Tonnes","3","Thousands",,,72332.35,,
"GRC","Greece","TOTAL_S","Total amounts of waste generated by sector","2018","2018","TONNE","Tonnes","3","Thousands",,,45592.6,"E","Estimated value"
"GRC","Greece","RES","Sorting residues, secondary waste","2010","2010","TONNE","Tonnes","3","Thousands",,,157.336,,
"GRC","Greece","RES","Sorting residues, secondary waste","2012","2012","TONNE","Tonnes","3","Thousands",,,255.604,,
"GRC","Greece","RES","Sorting residues, secondary waste","2014","2014","TONNE","Tonnes","3","Thousands",,,247.07,,
"GRC","Greece","RES","Sorting residues, secondary waste","2016","2016","TONNE","Tonnes","3","Thousands",,,482.905,,
"GRC","Greece","RES","Sorting residues, secondary waste","2018","2018","TONNE","Tonnes","3","Thousands",,,1181.612,,
"GRC","Greece","TOTAL","Total amounts of primary waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,70275.37,,
"GRC","Greece","TOTAL","Total amounts of primary waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,72072.68,,
"GRC","Greece","TOTAL","Total amounts of primary waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,69511.8,,
"GRC","Greece","TOTAL","Total amounts of primary waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,71849.45,,
"GRC","Greece","TOTAL","Total amounts of primary waste generated","2018","2018","TONNE","Tonnes","3","Thousands",,,44410.99,,
"GRC","Greece","INT_CAPITA","Primary waste per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,6318.964,,
"GRC","Greece","INT_CAPITA","Primary waste per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,6525.361,,
