"","Year","Entity","Microplastic","Macroplastic","Predicted"
"133",1994,"Emissions growth to 2050",94700,281600,"False"
"134",1994,"Emissions level to 2020",94700,281600,"False"
"135",1994,"Emissions stop in 2020",94700,281600,"False"
"136",1995,"Emissions growth to 2050",103100,300200,"False"
"137",1995,"Emissions level to 2020",103100,300200,"False"
"138",1995,"Emissions stop in 2020",103100,300200,"False"
"139",1996,"Emissions growth to 2050",112100,320200,"False"
"140",1996,"Emissions level to 2020",112100,320200,"False"
"141",1996,"Emissions stop in 2020",112100,320200,"False"
"142",1997,"Emissions growth to 2050",121700,341500,"False"
"143",1997,"Emissions level to 2020",121700,341500,"False"
"144",1997,"Emissions stop in 2020",121700,341500,"False"
"145",1998,"Emissions growth to 2050",132000,363900,"False"
"146",1998,"Emissions level to 2020",132000,363900,"False"
"147",1998,"Emissions stop in 2020",132000,363900,"False"
"148",1999,"Emissions growth to 2050",142900,387800,"False"
"149",1999,"Emissions level to 2020",142900,387800,"False"
"150",1999,"Emissions stop in 2020",142900,387800,"False"
"151",2000,"Emissions growth to 2050",154500,413100,"False"
"152",2000,"Emissions level to 2020",154500,413100,"False"
"153",2000,"Emissions stop in 2020",154500,413100,"False"
"154",2001,"Emissions growth to 2050",166900,439200,"False"
"155",2001,"Emissions level to 2020",166900,439200,"False"
"156",2001,"Emissions stop in 2020",166900,439200,"False"
"157",2002,"Emissions growth to 2050",180100,466800,"False"
"158",2002,"Emissions level to 2020",180100,466800,"False"
"159",2002,"Emissions stop in 2020",180100,466800,"False"
"160",2003,"Emissions growth to 2050",194100,495500,"False"
"161",2003,"Emissions level to 2020",194100,495500,"False"
"162",2003,"Emissions stop in 2020",194100,495500,"False"
"163",2004,"Emissions growth to 2050",209000,525900,"False"
"164",2004,"Emissions level to 2020",209000,525900,"False"
"165",2004,"Emissions stop in 2020",209000,525900,"False"
"166",2005,"Emissions growth to 2050",224700,557100,"False"
"167",2005,"Emissions level to 2020",224700,557100,"False"
"168",2005,"Emissions stop in 2020",224700,557100,"False"
"169",2006,"Emissions growth to 2050",241400,590200,"False"
"170",2006,"Emissions level to 2020",241400,590200,"False"
"171",2006,"Emissions stop in 2020",241400,590200,"False"
"172",2007,"Emissions growth to 2050",259200,625000,"False"
"173",2007,"Emissions level to 2020",259200,625000,"False"
"174",2007,"Emissions stop in 2020",259200,625000,"False"
"175",2008,"Emissions growth to 2050",277900,658800,"False"
"176",2008,"Emissions level to 2020",277900,658800,"False"
"177",2008,"Emissions stop in 2020",277900,658800,"False"
"178",2009,"Emissions growth to 2050",297700,693400,"False"
"179",2009,"Emissions level to 2020",297700,693400,"False"
"180",2009,"Emissions stop in 2020",297700,693400,"False"
"181",2010,"Emissions growth to 2050",318500,730100,"False"
"182",2010,"Emissions level to 2020",318500,730100,"False"
"183",2010,"Emissions stop in 2020",318500,730100,"False"
"184",2011,"Emissions growth to 2050",340400,768000,"False"
"185",2011,"Emissions level to 2020",340400,768000,"False"
"186",2011,"Emissions stop in 2020",340400,768000,"False"
"187",2012,"Emissions growth to 2050",363400,807200,"False"
"188",2012,"Emissions level to 2020",363400,807200,"False"
"189",2012,"Emissions stop in 2020",363400,807200,"False"
"190",2013,"Emissions growth to 2050",387600,847900,"False"
"191",2013,"Emissions level to 2020",387600,847900,"False"
"192",2013,"Emissions stop in 2020",387600,847900,"False"
"193",2014,"Emissions growth to 2050",413100,890200,"False"
"194",2014,"Emissions level to 2020",413100,890200,"False"
"195",2014,"Emissions stop in 2020",413100,890200,"False"
"196",2015,"Emissions growth to 2050",439800,934100,"False"
"197",2015,"Emissions level to 2020",439800,934100,"False"
"198",2015,"Emissions stop in 2020",439800,934100,"False"
"199",2016,"Emissions growth to 2050",467800,979500,"False"
"200",2016,"Emissions level to 2020",467800,979500,"False"
"201",2016,"Emissions stop in 2020",467800,979500,"False"
"202",2017,"Emissions growth to 2050",497200,1026500,"False"
"203",2017,"Emissions level to 2020",497200,1026500,"False"
"204",2017,"Emissions stop in 2020",497200,1026500,"False"
"205",2018,"Emissions growth to 2050",528000,1075200,"False"
"206",2018,"Emissions level to 2020",528000,1075200,"False"
"207",2018,"Emissions stop in 2020",528000,1075200,"False"
"208",2019,"Emissions growth to 2050",560200,1125400,"False"
"209",2019,"Emissions level to 2020",560200,1125400,"False"
"210",2019,"Emissions stop in 2020",560200,1125400,"False"
"211",2020,"Emissions growth to 2050",594000,1177400,"True"
"212",2020,"Emissions level to 2020",594000,1177400,"True"
"213",2020,"Emissions stop in 2020",594000,1136000,"True"
"214",2021,"Emissions growth to 2050",629300,1231200,"True"
"215",2021,"Emissions level to 2020",629300,1229700,"True"
"216",2021,"Emissions stop in 2020",628100,1141600,"True"
"217",2022,"Emissions growth to 2050",666300,1286800,"True"
"218",2022,"Emissions level to 2020",666200,1281900,"True"
"219",2022,"Emissions stop in 2020",662300,1141400,"True"
"220",2023,"Emissions growth to 2050",704900,1344400,"True"
"221",2023,"Emissions level to 2020",704700,1334100,"True"
"222",2023,"Emissions stop in 2020",696600,1136200,"True"
"223",2024,"Emissions growth to 2050",745200,1403900,"True"
"224",2024,"Emissions level to 2020",744700,1385800,"True"
"225",2024,"Emissions stop in 2020",730600,1127400,"True"
"226",2025,"Emissions growth to 2050",787300,1465500,"True"
"227",2025,"Emissions level to 2020",786300,1437100,"True"
"228",2025,"Emissions stop in 2020",764500,1116200,"True"
"229",2026,"Emissions growth to 2050",831300,1529300,"True"
"230",2026,"Emissions level to 2020",829400,1487900,"True"
"231",2026,"Emissions stop in 2020",798000,1103700,"True"
"232",2027,"Emissions growth to 2050",877200,1595300,"True"
"233",2027,"Emissions level to 2020",874000,1538000,"True"
"234",2027,"Emissions stop in 2020",831100,1090700,"True"
"235",2028,"Emissions growth to 2050",925000,1663700,"True"
"236",2028,"Emissions level to 2020",920200,1587600,"True"
"237",2028,"Emissions stop in 2020",863800,1077300,"True"
"238",2029,"Emissions growth to 2050",974900,1734500,"True"
"239",2029,"Emissions level to 2020",967800,1636500,"True"
"240",2029,"Emissions stop in 2020",896100,1063800,"True"
"241",2030,"Emissions growth to 2050",1027000,1807700,"True"
"242",2030,"Emissions level to 2020",1016900,1684700,"True"
"243",2030,"Emissions stop in 2020",928000,1049900,"True"
"244",2031,"Emissions growth to 2050",1081200,1883600,"True"
"245",2031,"Emissions level to 2020",1067400,1732300,"True"
"246",2031,"Emissions stop in 2020",959500,1035800,"True"
"247",2032,"Emissions growth to 2050",1137700,1962200,"True"
"248",2032,"Emissions level to 2020",1119400,1779300,"True"
"249",2032,"Emissions stop in 2020",990600,1021300,"True"
"250",2033,"Emissions growth to 2050",1196600,2043500,"True"
"251",2033,"Emissions level to 2020",1172800,1825500,"True"
"252",2033,"Emissions stop in 2020",1021200,1006500,"True"
"253",2034,"Emissions growth to 2050",1257900,2127800,"True"
"254",2034,"Emissions level to 2020",1227500,1871100,"True"
"255",2034,"Emissions stop in 2020",1051400,991600,"True"
"256",2035,"Emissions growth to 2050",1321700,2215100,"True"
"257",2035,"Emissions level to 2020",1283700,1916000,"True"
"258",2035,"Emissions stop in 2020",1081200,976600,"True"
"259",2036,"Emissions growth to 2050",1388200,2305500,"True"
"260",2036,"Emissions level to 2020",1341100,1960200,"True"
"261",2036,"Emissions stop in 2020",1110500,961700,"True"
"262",2037,"Emissions growth to 2050",1457300,2399100,"True"
"263",2037,"Emissions level to 2020",1400000,2003700,"True"
"264",2037,"Emissions stop in 2020",1139300,947000,"True"
"265",2038,"Emissions growth to 2050",1529300,2496100,"True"
"266",2038,"Emissions level to 2020",1460100,2046600,"True"
"267",2038,"Emissions stop in 2020",1167700,932500,"True"
"268",2039,"Emissions growth to 2050",1604200,2596600,"True"
"269",2039,"Emissions level to 2020",1521500,2088700,"True"
"270",2039,"Emissions stop in 2020",1195700,918300,"True"
"271",2040,"Emissions growth to 2050",1682100,2700600,"True"
"272",2040,"Emissions level to 2020",1584100,2130200,"True"
"273",2040,"Emissions stop in 2020",1223300,904500,"True"
"274",2041,"Emissions growth to 2050",1763100,2808400,"True"
"275",2041,"Emissions level to 2020",1648000,2171000,"True"
"276",2041,"Emissions stop in 2020",1250400,890900,"True"
"277",2042,"Emissions growth to 2050",1847300,2920100,"True"
"278",2042,"Emissions level to 2020",1713200,2211100,"True"
"279",2042,"Emissions stop in 2020",1277100,877600,"True"
"280",2043,"Emissions growth to 2050",1934900,3035800,"True"
"281",2043,"Emissions level to 2020",1779500,2250700,"True"
"282",2043,"Emissions stop in 2020",1303500,864700,"True"
"283",2044,"Emissions growth to 2050",2026000,3155700,"True"
"284",2044,"Emissions level to 2020",1847000,2289600,"True"
"285",2044,"Emissions stop in 2020",1329400,851900,"True"
"286",2045,"Emissions growth to 2050",2120700,3279900,"True"
"287",2045,"Emissions level to 2020",1915700,2327900,"True"
"288",2045,"Emissions stop in 2020",1355000,839500,"True"
"289",2046,"Emissions growth to 2050",2219100,3408600,"True"
"290",2046,"Emissions level to 2020",1985500,2365500,"True"
"291",2046,"Emissions stop in 2020",1380100,827100,"True"
"292",2047,"Emissions growth to 2050",2321300,3542000,"True"
"293",2047,"Emissions level to 2020",2056500,2402600,"True"
"294",2047,"Emissions stop in 2020",1405000,815000,"True"
"295",2048,"Emissions growth to 2050",2427600,3680200,"True"
"296",2048,"Emissions level to 2020",2128600,2439100,"True"
"297",2048,"Emissions stop in 2020",1429400,802800,"True"
"298",2049,"Emissions growth to 2050",2538000,3823500,"True"
"299",2049,"Emissions level to 2020",2201800,2475000,"True"
"300",2049,"Emissions stop in 2020",1453500,790700,"True"
"301",2050,"Emissions growth to 2050",2652700,3971900,"True"
"302",2050,"Emissions level to 2020",2276000,2510400,"True"
"303",2050,"Emissions stop in 2020",1477200,778600,"True"
